Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
283,27.0,CartPole-v1,100000.0,0.0001,0.99,5,5
284,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
285,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
286,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
287,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
288,19.0,CartPole-v1,100000.0,0.0001,0.99,5,5
289,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
290,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
291,18.0,CartPole-v1,100000.0,0.0001,0.99,5,5
292,45.0,CartPole-v1,100000.0,0.0001,0.99,5,5
293,21.0,CartPole-v1,100000.0,0.0001,0.99,5,5
294,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
295,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
296,22.0,CartPole-v1,100000.0,0.0001,0.99,5,5
297,9.0,CartPole-v1,100000.0,0.0001,0.99,5,5
298,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
299,16.0,CartPole-v1,100000.0,0.0001,0.99,5,5
300,16.0,CartPole-v1,100000.0,0.0001,0.99,5,5
301,16.0,CartPole-v1,100000.0,0.0001,0.99,5,5
302,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
303,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
304,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
305,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
306,23.0,CartPole-v1,100000.0,0.0001,0.99,5,5
307,42.0,CartPole-v1,100000.0,0.0001,0.99,5,5
308,32.0,CartPole-v1,100000.0,0.0001,0.99,5,5
309,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
310,58.0,CartPole-v1,100000.0,0.0001,0.99,5,5
311,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
312,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
313,11.0,CartPole-v1,100000.0,0.0001,0.99,5,5
314,18.0,CartPole-v1,100000.0,0.0001,0.99,5,5
315,22.0,CartPole-v1,100000.0,0.0001,0.99,5,5
316,25.0,CartPole-v1,100000.0,0.0001,0.99,5,5
317,9.0,CartPole-v1,100000.0,0.0001,0.99,5,5
