Episode,Episode Score,Environment,Max Episodes,Seed
558,19.0,CartPole-v1,100000.0,9
559,16.0,CartPole-v1,100000.0,9
560,11.0,CartPole-v1,100000.0,9
561,24.0,CartPole-v1,100000.0,9
562,16.0,CartPole-v1,100000.0,9
563,24.0,CartPole-v1,100000.0,9
564,12.0,CartPole-v1,100000.0,9
565,15.0,CartPole-v1,100000.0,9
566,10.0,CartPole-v1,100000.0,9
567,31.0,CartPole-v1,100000.0,9
568,15.0,CartPole-v1,100000.0,9
569,12.0,CartPole-v1,100000.0,9
570,12.0,CartPole-v1,100000.0,9
571,11.0,CartPole-v1,100000.0,9
572,17.0,CartPole-v1,100000.0,9
573,12.0,CartPole-v1,100000.0,9
574,18.0,CartPole-v1,100000.0,9
575,11.0,CartPole-v1,100000.0,9
576,11.0,CartPole-v1,100000.0,9
577,16.0,CartPole-v1,100000.0,9
578,17.0,CartPole-v1,100000.0,9
579,11.0,CartPole-v1,100000.0,9
580,19.0,CartPole-v1,100000.0,9
581,36.0,CartPole-v1,100000.0,9
582,21.0,CartPole-v1,100000.0,9
583,14.0,CartPole-v1,100000.0,9
584,20.0,CartPole-v1,100000.0,9
585,28.0,CartPole-v1,100000.0,9
586,11.0,CartPole-v1,100000.0,9
587,22.0,CartPole-v1,100000.0,9
588,14.0,CartPole-v1,100000.0,9
589,22.0,CartPole-v1,100000.0,9
590,14.0,CartPole-v1,100000.0,9
591,14.0,CartPole-v1,100000.0,9
592,25.0,CartPole-v1,100000.0,9
593,13.0,CartPole-v1,100000.0,9
594,12.0,CartPole-v1,100000.0,9
595,44.0,CartPole-v1,100000.0,9
596,34.0,CartPole-v1,100000.0,9
597,26.0,CartPole-v1,100000.0,9
598,40.0,CartPole-v1,100000.0,9
599,14.0,CartPole-v1,100000.0,9
600,13.0,CartPole-v1,100000.0,9
601,14.0,CartPole-v1,100000.0,9
602,14.0,CartPole-v1,100000.0,9
603,17.0,CartPole-v1,100000.0,9
604,33.0,CartPole-v1,100000.0,9
605,15.0,CartPole-v1,100000.0,9
606,13.0,CartPole-v1,100000.0,9
607,20.0,CartPole-v1,100000.0,9
608,65.0,CartPole-v1,100000.0,9
609,16.0,CartPole-v1,100000.0,9
610,11.0,CartPole-v1,100000.0,9
611,16.0,CartPole-v1,100000.0,9
612,12.0,CartPole-v1,100000.0,9
613,12.0,CartPole-v1,100000.0,9
614,13.0,CartPole-v1,100000.0,9
615,26.0,CartPole-v1,100000.0,9
616,52.0,CartPole-v1,100000.0,9
617,12.0,CartPole-v1,100000.0,9
618,25.0,CartPole-v1,100000.0,9
619,14.0,CartPole-v1,100000.0,9
620,14.0,CartPole-v1,100000.0,9
621,17.0,CartPole-v1,100000.0,9
622,16.0,CartPole-v1,100000.0,9
623,11.0,CartPole-v1,100000.0,9
624,20.0,CartPole-v1,100000.0,9
625,18.0,CartPole-v1,100000.0,9
626,40.0,CartPole-v1,100000.0,9
627,20.0,CartPole-v1,100000.0,9
628,9.0,CartPole-v1,100000.0,9
629,25.0,CartPole-v1,100000.0,9
630,22.0,CartPole-v1,100000.0,9
631,9.0,CartPole-v1,100000.0,9
632,27.0,CartPole-v1,100000.0,9
633,12.0,CartPole-v1,100000.0,9
634,16.0,CartPole-v1,100000.0,9
635,21.0,CartPole-v1,100000.0,9
636,30.0,CartPole-v1,100000.0,9
637,25.0,CartPole-v1,100000.0,9
638,16.0,CartPole-v1,100000.0,9
639,10.0,CartPole-v1,100000.0,9
640,14.0,CartPole-v1,100000.0,9
641,20.0,CartPole-v1,100000.0,9
642,19.0,CartPole-v1,100000.0,9
643,28.0,CartPole-v1,100000.0,9
644,11.0,CartPole-v1,100000.0,9
645,13.0,CartPole-v1,100000.0,9
646,19.0,CartPole-v1,100000.0,9
647,37.0,CartPole-v1,100000.0,9
648,23.0,CartPole-v1,100000.0,9
649,12.0,CartPole-v1,100000.0,9
650,16.0,CartPole-v1,100000.0,9
