Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Seed
246,24.0,CartPole-v1,100000.0,0.001,0.99,5
247,15.0,CartPole-v1,100000.0,0.001,0.99,5
248,12.0,CartPole-v1,100000.0,0.001,0.99,5
249,18.0,CartPole-v1,100000.0,0.001,0.99,5
250,18.0,CartPole-v1,100000.0,0.001,0.99,5
251,15.0,CartPole-v1,100000.0,0.001,0.99,5
252,10.0,CartPole-v1,100000.0,0.001,0.99,5
253,18.0,CartPole-v1,100000.0,0.001,0.99,5
254,15.0,CartPole-v1,100000.0,0.001,0.99,5
255,24.0,CartPole-v1,100000.0,0.001,0.99,5
256,10.0,CartPole-v1,100000.0,0.001,0.99,5
257,14.0,CartPole-v1,100000.0,0.001,0.99,5
258,13.0,CartPole-v1,100000.0,0.001,0.99,5
259,27.0,CartPole-v1,100000.0,0.001,0.99,5
260,12.0,CartPole-v1,100000.0,0.001,0.99,5
261,9.0,CartPole-v1,100000.0,0.001,0.99,5
262,27.0,CartPole-v1,100000.0,0.001,0.99,5
263,73.0,CartPole-v1,100000.0,0.001,0.99,5
264,18.0,CartPole-v1,100000.0,0.001,0.99,5
265,27.0,CartPole-v1,100000.0,0.001,0.99,5
266,27.0,CartPole-v1,100000.0,0.001,0.99,5
267,20.0,CartPole-v1,100000.0,0.001,0.99,5
268,24.0,CartPole-v1,100000.0,0.001,0.99,5
269,11.0,CartPole-v1,100000.0,0.001,0.99,5
270,12.0,CartPole-v1,100000.0,0.001,0.99,5
271,30.0,CartPole-v1,100000.0,0.001,0.99,5
272,40.0,CartPole-v1,100000.0,0.001,0.99,5
273,24.0,CartPole-v1,100000.0,0.001,0.99,5
274,24.0,CartPole-v1,100000.0,0.001,0.99,5
275,22.0,CartPole-v1,100000.0,0.001,0.99,5
276,14.0,CartPole-v1,100000.0,0.001,0.99,5
277,13.0,CartPole-v1,100000.0,0.001,0.99,5
278,17.0,CartPole-v1,100000.0,0.001,0.99,5
279,9.0,CartPole-v1,100000.0,0.001,0.99,5
280,35.0,CartPole-v1,100000.0,0.001,0.99,5
281,36.0,CartPole-v1,100000.0,0.001,0.99,5
282,11.0,CartPole-v1,100000.0,0.001,0.99,5
283,19.0,CartPole-v1,100000.0,0.001,0.99,5
284,19.0,CartPole-v1,100000.0,0.001,0.99,5
285,17.0,CartPole-v1,100000.0,0.001,0.99,5
286,15.0,CartPole-v1,100000.0,0.001,0.99,5
287,15.0,CartPole-v1,100000.0,0.001,0.99,5
288,13.0,CartPole-v1,100000.0,0.001,0.99,5
289,18.0,CartPole-v1,100000.0,0.001,0.99,5
290,18.0,CartPole-v1,100000.0,0.001,0.99,5
291,23.0,CartPole-v1,100000.0,0.001,0.99,5
292,19.0,CartPole-v1,100000.0,0.001,0.99,5
293,16.0,CartPole-v1,100000.0,0.001,0.99,5
294,13.0,CartPole-v1,100000.0,0.001,0.99,5
295,16.0,CartPole-v1,100000.0,0.001,0.99,5
296,24.0,CartPole-v1,100000.0,0.001,0.99,5
297,33.0,CartPole-v1,100000.0,0.001,0.99,5
298,13.0,CartPole-v1,100000.0,0.001,0.99,5
299,10.0,CartPole-v1,100000.0,0.001,0.99,5
300,22.0,CartPole-v1,100000.0,0.001,0.99,5
301,11.0,CartPole-v1,100000.0,0.001,0.99,5
302,9.0,CartPole-v1,100000.0,0.001,0.99,5
303,15.0,CartPole-v1,100000.0,0.001,0.99,5
304,17.0,CartPole-v1,100000.0,0.001,0.99,5
305,27.0,CartPole-v1,100000.0,0.001,0.99,5
306,39.0,CartPole-v1,100000.0,0.001,0.99,5
307,15.0,CartPole-v1,100000.0,0.001,0.99,5
308,27.0,CartPole-v1,100000.0,0.001,0.99,5
309,26.0,CartPole-v1,100000.0,0.001,0.99,5
310,12.0,CartPole-v1,100000.0,0.001,0.99,5
311,18.0,CartPole-v1,100000.0,0.001,0.99,5
312,15.0,CartPole-v1,100000.0,0.001,0.99,5
313,22.0,CartPole-v1,100000.0,0.001,0.99,5
314,16.0,CartPole-v1,100000.0,0.001,0.99,5
315,13.0,CartPole-v1,100000.0,0.001,0.99,5
316,12.0,CartPole-v1,100000.0,0.001,0.99,5
317,38.0,CartPole-v1,100000.0,0.001,0.99,5
318,33.0,CartPole-v1,100000.0,0.001,0.99,5
319,15.0,CartPole-v1,100000.0,0.001,0.99,5
320,38.0,CartPole-v1,100000.0,0.001,0.99,5
321,14.0,CartPole-v1,100000.0,0.001,0.99,5
322,10.0,CartPole-v1,100000.0,0.001,0.99,5
323,10.0,CartPole-v1,100000.0,0.001,0.99,5
324,12.0,CartPole-v1,100000.0,0.001,0.99,5
325,16.0,CartPole-v1,100000.0,0.001,0.99,5
326,14.0,CartPole-v1,100000.0,0.001,0.99,5
327,33.0,CartPole-v1,100000.0,0.001,0.99,5
328,32.0,CartPole-v1,100000.0,0.001,0.99,5
329,41.0,CartPole-v1,100000.0,0.001,0.99,5
330,48.0,CartPole-v1,100000.0,0.001,0.99,5
331,21.0,CartPole-v1,100000.0,0.001,0.99,5
332,16.0,CartPole-v1,100000.0,0.001,0.99,5
333,47.0,CartPole-v1,100000.0,0.001,0.99,5
334,23.0,CartPole-v1,100000.0,0.001,0.99,5
335,18.0,CartPole-v1,100000.0,0.001,0.99,5
336,17.0,CartPole-v1,100000.0,0.001,0.99,5
337,26.0,CartPole-v1,100000.0,0.001,0.99,5
338,14.0,CartPole-v1,100000.0,0.001,0.99,5
339,26.0,CartPole-v1,100000.0,0.001,0.99,5
340,22.0,CartPole-v1,100000.0,0.001,0.99,5
341,33.0,CartPole-v1,100000.0,0.001,0.99,5
342,31.0,CartPole-v1,100000.0,0.001,0.99,5
343,43.0,CartPole-v1,100000.0,0.001,0.99,5
344,9.0,CartPole-v1,100000.0,0.001,0.99,5
345,14.0,CartPole-v1,100000.0,0.001,0.99,5
346,25.0,CartPole-v1,100000.0,0.001,0.99,5
347,21.0,CartPole-v1,100000.0,0.001,0.99,5
348,18.0,CartPole-v1,100000.0,0.001,0.99,5
349,27.0,CartPole-v1,100000.0,0.001,0.99,5
350,19.0,CartPole-v1,100000.0,0.001,0.99,5
351,36.0,CartPole-v1,100000.0,0.001,0.99,5
352,45.0,CartPole-v1,100000.0,0.001,0.99,5
353,21.0,CartPole-v1,100000.0,0.001,0.99,5
354,12.0,CartPole-v1,100000.0,0.001,0.99,5
355,11.0,CartPole-v1,100000.0,0.001,0.99,5
356,63.0,CartPole-v1,100000.0,0.001,0.99,5
357,26.0,CartPole-v1,100000.0,0.001,0.99,5
358,19.0,CartPole-v1,100000.0,0.001,0.99,5
359,19.0,CartPole-v1,100000.0,0.001,0.99,5
360,19.0,CartPole-v1,100000.0,0.001,0.99,5
361,19.0,CartPole-v1,100000.0,0.001,0.99,5
362,11.0,CartPole-v1,100000.0,0.001,0.99,5
363,11.0,CartPole-v1,100000.0,0.001,0.99,5
364,22.0,CartPole-v1,100000.0,0.001,0.99,5
365,15.0,CartPole-v1,100000.0,0.001,0.99,5
366,30.0,CartPole-v1,100000.0,0.001,0.99,5
367,16.0,CartPole-v1,100000.0,0.001,0.99,5
368,24.0,CartPole-v1,100000.0,0.001,0.99,5
369,15.0,CartPole-v1,100000.0,0.001,0.99,5
370,17.0,CartPole-v1,100000.0,0.001,0.99,5
371,21.0,CartPole-v1,100000.0,0.001,0.99,5
372,26.0,CartPole-v1,100000.0,0.001,0.99,5
373,15.0,CartPole-v1,100000.0,0.001,0.99,5
374,31.0,CartPole-v1,100000.0,0.001,0.99,5
375,16.0,CartPole-v1,100000.0,0.001,0.99,5
376,21.0,CartPole-v1,100000.0,0.001,0.99,5
377,58.0,CartPole-v1,100000.0,0.001,0.99,5
378,14.0,CartPole-v1,100000.0,0.001,0.99,5
379,20.0,CartPole-v1,100000.0,0.001,0.99,5
380,12.0,CartPole-v1,100000.0,0.001,0.99,5
381,16.0,CartPole-v1,100000.0,0.001,0.99,5
382,16.0,CartPole-v1,100000.0,0.001,0.99,5
383,15.0,CartPole-v1,100000.0,0.001,0.99,5
384,15.0,CartPole-v1,100000.0,0.001,0.99,5
385,21.0,CartPole-v1,100000.0,0.001,0.99,5
386,24.0,CartPole-v1,100000.0,0.001,0.99,5
387,10.0,CartPole-v1,100000.0,0.001,0.99,5
388,25.0,CartPole-v1,100000.0,0.001,0.99,5
389,12.0,CartPole-v1,100000.0,0.001,0.99,5
390,12.0,CartPole-v1,100000.0,0.001,0.99,5
391,23.0,CartPole-v1,100000.0,0.001,0.99,5
392,18.0,CartPole-v1,100000.0,0.001,0.99,5
393,13.0,CartPole-v1,100000.0,0.001,0.99,5
394,12.0,CartPole-v1,100000.0,0.001,0.99,5
395,43.0,CartPole-v1,100000.0,0.001,0.99,5
396,18.0,CartPole-v1,100000.0,0.001,0.99,5
397,22.0,CartPole-v1,100000.0,0.001,0.99,5
398,33.0,CartPole-v1,100000.0,0.001,0.99,5
399,40.0,CartPole-v1,100000.0,0.001,0.99,5
400,12.0,CartPole-v1,100000.0,0.001,0.99,5
401,16.0,CartPole-v1,100000.0,0.001,0.99,5
402,26.0,CartPole-v1,100000.0,0.001,0.99,5
